videoId,videoTitle,comment,author,likeCount,publishedAt
uVm2Q0EMiR0,I Am Returning My iPhone 17 Pro | 10 Days Review | Malayalam,"iPhonePhobias Pan India Courier Service Cochin 91 8136896597 Calicut 91 7356008802 Service 91 7356008807 Complaint Line 91 8590220080 First floor, parisons digital bazar, Calicut, India 673004 Edited By asifasgar.works gmail.com",@CallMeShazzamTECH,220,2025-10-09T15:39:57Z
uVm2Q0EMiR0,I Am Returning My iPhone 17 Pro | 10 Days Review | Malayalam,I'm glad y'all liked the edits,@AsifAsgarr,290,2025-10-10T11:32:46Z
uVm2Q0EMiR0,I Am Returning My iPhone 17 Pro | 10 Days Review | Malayalam,Editor nu recent aayit hike kitti ennu thoonunu,@sarath.sreedhar.j,46,2025-10-10T13:49:31Z
uVm2Q0EMiR0,I Am Returning My iPhone 17 Pro | 10 Days Review | Malayalam,This video editing is unreal.... never seen it to be so good before,@Robin007George,140,2025-10-10T03:45:14Z
uVm2Q0EMiR0,I Am Returning My iPhone 17 Pro | 10 Days Review | Malayalam,Video production quality has been top notch these days. Keep it up bro,@Raju_Padmanabhan,98,2025-10-10T04:59:00Z
uVm2Q0EMiR0,I Am Returning My iPhone 17 Pro | 10 Days Review | Malayalam,Editor was hired yesterday..,@DommToretto,63,2025-10-10T08:23:04Z
uVm2Q0EMiR0,I Am Returning My iPhone 17 Pro | 10 Days Review | Malayalam,Editing kidu.. hope your videos break the language barrier soon..,@TonuAlex,38,2025-10-10T07:33:36Z
uVm2Q0EMiR0,I Am Returning My iPhone 17 Pro | 10 Days Review | Malayalam,I cant think of any other phone to play BGMI !!! Pro max screen and bigger battery.. dream for any gamer !! Lets see how Vlogging feels like on the new iphone,@CallmeFlashh,162,2025-10-10T07:14:17Z
uVm2Q0EMiR0,I Am Returning My iPhone 17 Pro | 10 Days Review | Malayalam,Editor bro is working overtime,@Doctorvegafunk,32,2025-10-10T08:45:18Z
uVm2Q0EMiR0,I Am Returning My iPhone 17 Pro | 10 Days Review | Malayalam,4 30 farming AURA,@Groot7x,30,2025-10-10T06:53:16Z
uVm2Q0EMiR0,I Am Returning My iPhone 17 Pro | 10 Days Review | Malayalam,Appreciating the edits,@nithinkrishnav.s5394,12,2025-10-10T10:21:04Z
uVm2Q0EMiR0,I Am Returning My iPhone 17 Pro | 10 Days Review | Malayalam,"I absolutely love your videos, especially the way you review the gadgets. Keep it up bro.",@ranjitnair9419,5,2025-10-10T18:12:25Z
uVm2Q0EMiR0,I Am Returning My iPhone 17 Pro | 10 Days Review | Malayalam,Iphone Colour change aavuna editing,@LilBossified,7,2025-10-10T13:09:36Z
